Weight	Best Action	Count	Q Value
0	1	56	-116.24906568271068
1	1	194	-104.2289768343136
2	1	189	-104.66987180828693
3	1	159	-105.36340167827646
4	1	134	-106.78430315563162
5	1	145	-106.15217206378524
6	1	134	-106.64231837112501
7	1	146	-104.98701272729956
8	1	139	-104.70546391262914
9	1	153	-105.31972314157697
10	1	150	-103.97999822799262
11	1	156	-103.90453391954719
12	1	163	-103.4829060770467
13	1	167	-103.50610711174203
14	1	158	-103.24854374207426
15	1	168	-104.17089701500417
16	1	162	-103.98720953373318
17	1	164	-103.53350885347345
18	1	161	-104.56037031326774
19	1	166	-103.33345834367186
20	1	160	-104.06277280977955
21	1	154	-102.49617222896269
22	1	169	-103.65462692960409
23	1	162	-103.62400498475344
24	1	168	-102.91117887120218
25	1	161	-102.62175908179516
26	1	154	-105.03482946786058
27	1	172	-101.80862474928375
28	1	161	-104.88403980591785
29	1	168	-101.87239529743748
30	1	152	-104.77310501044457
31	1	156	-102.62070434612754
32	1	170	-103.73889853599576
33	1	153	-100.96816089905654
34	1	167	-102.03821538794278
35	1	156	-105.37865287243673
36	1	169	-101.48834923652085
37	1	161	-101.47285699285966
38	1	159	-102.59005938978606
39	1	162	-101.0466754258016
40	1	152	-103.26851311743938
41	1	170	-99.6630906799588
42	1	157	-103.44025381761598
43	1	157	-100.7041469069366
44	1	168	-101.86251418513697
45	1	154	-98.88892053362872
46	1	156	-100.78812668261416
47	1	147	-104.43366166115668
48	1	159	-101.00123697297144
49	1	161	-95.91349027780575
50	1	148	-102.8940673271056
51	1	157	-99.56495429599832
52	1	151	-100.15279018100681
53	1	146	-99.00472770425277
54	1	155	-99.9508220821086
55	1	140	-101.64360023502074
56	1	144	-99.02709649454656
57	1	138	-104.20945860794797
58	-1	60	-103.28312744747821
59	-1	99	-102.06138962273604
60	-1	111	-95.96471610641527
61	-1	111	-101.59153261410826
62	-1	71	-108.62520274741053
63	-1	76	-102.49631537094315
64	1	0	-125.0
65	1	0	-125.0
66	1	0	-125.0
67	1	0	-125.0
68	1	0	-125.0
69	1	0	-125.0
70	1	0	-125.0
71	1	0	-125.0
72	1	0	-125.0
73	1	0	-125.0
74	1	0	-125.0
75	1	0	-125.0
76	1	0	-125.0
